赤坂レッドシアター,アカサカレッドシアター
全く参照,ゼンクサンショウ
ポスター発表,ポスターハッピョウ
分野横断,ブンヤオウダン
横断的,オウダンテキ
情報交換,ジョウホウコウカン
NLP若手,エヌエルピーワカテ
回シンポジウム,カイシンポジウム
シンポジウム合宿,シンポジウムガッシュク
画像認識,ガゾウニンシキ
認識系,ニンシキケイ
共通認識のようなもの,キョウツウニンシキノヨウナモノ
大変勉強,タイヘンベンキョウ
岡野原,オカノゲン
最新動向,サイシンドウコウ
半年前,ハントシマエ
小町研,コマチケン
深層学習,シンソウガクシュウ
学習勉強会,ガクシュウベンキョウカイ
認知科学会,ニンチカガクカイ
会サマースクール,カイサマースクール
エイプリルフールネタ,エイプリルフールネタ
リアル版,リアルバン
人工知能学会全国大会,ジンコウチノウガッカイゼンコクタイカイ
プログラム委員,プログラムイイン
経路候補,ケイロコウホ
最終的,サイシュウテキ
インストール方法,インストールホウホウ
中川先生,ナカガワセンセイ
文書中,ブンショチュウ
単語集合,タンゴシュウゴウ
特徴ベクトル,トクチョウベクトル
類似度,ルイジド
大変感銘,タイヘンカンメイ
京王線,ケイオウセン
昨年私,サクネンワタシ
外資企業,ガイシキギョウ
スポンサー費,スポンサーヒ
スポンサー費,スポンサーヒ
仲介銀行,チュウカイギンコウ
国際送金,コクサイソウキン
昨年同様,サクネンドウヨウ
講師陣,コウシジン
3日前,ミッカマエ
小町先生,コマチセンセイ
技術的,ギジュツテキ
浦島太郎状態,ウラシマタロウジョウタイ
超解像無し,チョウカイゾウナシ
解像,カイゾウ
万画素,マンガソ
画素CMOS,ガソシーモス
CMOSセンサー,シーモスセンサー
懐石料理食べに,カイセキリョウリショクベニ
3日間,ミッカカン
AIコントローラ,アイコントローラ
NLP若手,エヌエルピーワカテ
回シンポジウム,カイシンポジウム
シンポジウム合宿,シンポジウムガッシュク
ホテル海,ホテルウミ
海望,ウミモチ
人が報告,ジンガホウコク
ビルド方法,ビルドホウホウ
コミッタ就任,コミッタシュウニン
2015年レビュー,ニセンジュウゴネンレビュー
レビュー数,レビュースウ
貢献者,コウケンシャ
DB界隈,ディービーカイワイ
シーズベース,シーズベース
一番大事,イチバンダイジ
コミュティー,コミュティー
OSS実装,オーエスエスジッソウ
玄人感,クロウトカン
台レベル,ダイレベル
毎回C++,マイカイシープラスプラス
検索インデックス,ケンサクインデックス
Schemaon,スケーマオン
onwrite,オンライト
Schemaon,スケーマオン
代表的,ダイヒョウテキ
分散処理,ブンサンショリ
処理基盤,ショリキバン
並列DB,ヘイレツディービー
分散処理,ブンサンショリ
処理基盤,ショリキバン
データ量,データリョウ
招待講演,ショウタイコウエン
Google社員,グーグルシャイン
コントローラ制御,コントローラセイギョ
画像キャプチャ,ガゾウキャプチャ
本気出すところ,ホンキダストコロ
億会話,オクカイワ
ジョブマッチング,ジョブマッチング
言語処理,ゲンゴショリ
ユーザー単語,ユーザータンゴ
単語行列,タンゴギョウレツ
開発環境,カイハツカンキョウ
環境構築,カンキョウコウチク
件目,ケンメ
リクルートジョブズ,リクルートジョブズ
ジョブズ様,ジョブズサマ
国籍判定,コクセキハンテイ
構造解析,コウゾウカイセキ
主題抽出,シュダイチュウシュツ
News様,ニュースサマ
リーン方式,リーンホウシキ
適切さ,テキセツサ
企業セッション,キギョウセッション
リクルートテクノロジーズ様,リクルートテクノロジーズサマ
for文,フォーブン
CUDA環境,クーダカンキョウ
昨日リリース,キノウリリース
CUDA実装,クーダジッソウ
インターフェース互換,インターフェースゴカン
学習ループ,ガクシュウループ
評価ルーチン,ヒョウカルーチン
順伝播,ジュンデンパ
最適化ルーチン,サイテキカルーチン
ロス関数,ロスカンスウ
例サンプリング,レイサンプリング
階層的,カイソウテキ
的ソフトマックス,テキソフトマックス
1次元目,イチジゲンメ
ミニバッチ,ミニバッチ
データ1つ,データヒトツ
1次元目,イチジゲンメ
フットサルコート,フットサルコート
当日参加,トウジツサンカ
参加人数,サンカニンズウ
順伝播,ジュンデンパ
時間方向,ジカンホウコウ
なんすか,ナンスカ
すかこれ,スカコレ
計算効率,ケイサンコウリツ
誤差逆伝播法,ゴサギャクデンパホウ
計算グラフ,ケイサングラフ
誤差逆伝播法,ゴサギャクデンパホウ
合成関数,ゴウセイカンスウ
２０,ニゼロ
０１,ゼロイチ
１５,イチゴ
５年度,ゴネンド
年度NLP,ネンドエヌエルピー
NLP若手,エヌエルピーワカテ
ベクトル演算,ベクトルエンザン
slackチャット,スラックチャット
ホテル海,ホテルウミ
海望,ウミモチ
度ライブ,ドライブ
ライブ配信,ライブハイシン
発表的,ハッピョウテキ
年次大会,ネンジタイカイ
名寄せ問題,ナヨセモンダイ
着の,チャクノ
備品私,ビヒンワタシ
普通に新幹線,フツウニシンカンセン
社内チャット,シャナイチャット
右の,ミギノ
通称ビックリマンシール,ツウショウビックリマンシール
行列演算,ギョウレツエンザン
普通口座,フツウコウザ
当座口座,トウザコウザ
口座不便,コウザフベン
認知科学会,ニンチカガクカイ
会サマースクール,カイサマースクール
講演資料,コウエンシリョウ
深層学習,シンソウガクシュウ
SlideShare,スライドシェア
Shareさん,シェアサン
100人位,ヒャクニンイ
参加者100人,サンカシャヒャクニン
100人達成,ヒャクニンタッセイ
中澤さん,ナカザワサン
菊池くん,キクチクン
認知科学サマースクール,ニンチカガクサマースクール
何冊,ナンサツ
今井先生,イマイセンセイ
アイデア的,アイデアテキ
ペンタックス初,ペンタックスハツ
フルサイズデジタル一眼レフ,フルサイズデジタルイチガンレフ
ITmediaニュース,アイティーメディアニュース
認知科学会,ニンチカガクカイ
会サマースクール,カイサマースクール
さそう,サソウ
RNN中,アールエヌエヌチュー
次元毎,ジゲンゴト
非線形関数,ヒセンケイカンスウ
２日間,ニニチカン
最先端NLP,サイセンタンエヌエルピー
NLP勉強会,エヌエルピーベンキョウカイ
印象的,インショウテキ
持橋,ジキョウ
橋さん,キョウサン
一件,イチケン
自然文,シゼンブン
cuda.i,シーユーダアイ
こと全部,コトゼンブ
長距離依存,チョウキョリイゾン
依存学習,イゾンガクシュウ
直接.s,チョクセツドッツ
花図,ハナズ
詳細どこ,ショウサイドコ
行列分解,ギョウレツブンカイ
行列分解,ギョウレツブンカイ
行列分解,ギョウレツブンカイ
知識ベース,チシキベース
学習みたい,ガクシュウミタイ
最先端NLP,サイセンタンエヌエルピー
NLP勉強会,エヌエルピーベンキョウカイ
スマニュー,スマニュー
深層学習,シンソウガクシュウ
講演資料,コウエンシリョウ
研究者,ケンキュウシャ
誰だか気,ダレダカキ
２０,ニゼロ
０年,ゼロネン
年近く,ネンチカク
近く学習,チカクガクシュウ
動作保証,ドウサホショウ
保証バージョン,ホショウバージョン
バージョン明記,バージョンメイキ
ウィンドウ幅,ウィンドウハバ
式変形,シキヘンケイ
入力１,ニュウリョクイチ
１出力,イチシュツリョク
１入力,イチニュウリョク
入力１,ニュウリョクイチ
１出力,イチシュツリョク
総和みたい,ソウワミタイ
物理シミュレーション,ブツリシミュレーション
最終状態,サイシュウジョウタイ
初期状態,ショキジョウタイ
脳若手,ノウワカテ
帰宅中,キタクチュウ
chainer,チェインイーアール
er利用者,イーアールリヨウシャ
２名,ニメイ
賀沢さん,カザワサン
工藤さん,クドウサン
一斉送信,イッセイソウシン
参加募集,サンカボシュウ
募集フォーム,ボシュウフォーム
招待講演,ショウタイコウエン
大変身内,タイヘンミウチ
２週間,ニシュウカン
週間後,シュウカンゴ
深層学習,シンソウガクシュウ
記号接地,キゴウセッチ
接地問題,セッチモンダイ
問題あたり,モンダイアタリ
山西先生,サンセイセンセイ
井手さん,イデサン
井手剛,イデツヨシ
変化検知,ヘンカケンチ
機械学習プロフェッショナル,キカイガクシュウプロフェッショナル
プロフェッショナルシリーズ,プロフェッショナルシリーズ
週間位,シュウカンクライ
